Boarding Area	Operating Airline	Passenger Count
Other	Evergreen International Airlines	4
Other	Boeing Company	18
Other	Atlas Air, Inc	68
Other	Ameriflight	110
G	Servisair	553
G	El Al Israel Airlines LTD.	11144
G	TAP Air Portugal	41695
G	Thomas Cook Airlines	94696
G	Air Pacific Limited dba Fiji Airways	145162
G	French Bee	163822
G	Air Berlin	24119
G	WOW Air	178462
G	Jazz Aviation	395067
G	Air India Limited	528135
G	COPA Airlines, Inc.	664456
G	SAS Airlines	952783
G	Turkish Airlines	958353
G	Mexicana Airlines	991232
G	Aer Lingus	820587
G	WestJet Airlines	120756
G	Swiss International	1550774
G	Sun Country Airlines	50511
G	TACA	118063
G	Aeromexico	2008
G	All Nippon Airways	2219283
G	Air China	2577146
G	Air New Zealand	2605864
G	Emirates	558308
G	Singapore Airlines	4964136
G	EVA Airways	5099516
G	Lufthansa German Airlines	6757143
G	Air Canada	5383686
G	JetBlue Airways	46392
G	SkyWest Airlines	251749
G	United Airlines - Pre 07/01/2013	24240408
G	United Airlines	23851671
F	SkyWest Airlines	41495374
F	United Airlines - Pre 07/01/2013	76051212
F	United Airlines	71339896
E	Air Canada Jazz	2206
E	ATA Airlines	190
E	American Eagle Airlines	424692
E	Mesa Airlines	46
E	Midwest Airlines	346874
E	Air Canada	2775247
E	American Airlines	19064206
E	United Airlines - Pre 07/01/2013	4927993
E	United Airlines	38306605
D	Horizon Air	401207
D	Compass Airlines	1043206
D	Alaska Airlines	9957167
D	Virgin America	29850456
D	American Airlines	24582150
D	SkyWest Airlines	551295
C	Atlantic Southeast Airlines	47892
C	Republic Airlines	58102
C	Mesaba Airlines	126048
C	ExpressJet Airlines	180219
C	Midwest Airlines	28454
C	Hawaiian Airlines	1062631
C	Compass Airlines	2940624
C	Northwest Airlines	5551459
C	Frontier Airlines	3490686
C	US Airways	817907
C	Delta Air Lines	39989661
C	American Airlines	4969682
C	SkyWest Airlines	3266026
B	Air Canada Jazz	1913
B	Allegiant Air	24269
B	Republic Airlines	758
B	ATA Airlines	382493
B	Mesa Airlines	434138
B	Midwest Airlines	50768
B	Sun Country Airlines	338900
B	Horizon Air	1204758
B	AirTran Airways	2231627
B	Frontier Airlines	2828387
B	Air Canada	581684
B	JetBlue Airways	270070
B	US Airways	15613725
B	Alaska Airlines	8126866
B	Southwest Airlines	37723074
B	SkyWest Airlines	4022107
B	United Airlines - Pre 07/01/2013	144304
B	United Airlines	7993547
A	Xtra Airways	146
A	Pacific Aviation	320
A	Trego Dugan Aviation	412
A	World Airways	785
A	Miami Air International	1718
A	Servisair	2689
A	Swissport USA	5103
A	BelAir Airlines	9138
A	El Al Israel Airlines LTD.	10631
A	Air Italy S.P.A	31354
A	Icelandair	55994
A	Independence Air	63913
A	Jet Airways	68485
A	Spirit Airlines	70105
A	Norwegian Air UK Ltd	82735
A	Icelandair EHF	106887
A	Finnair	107667
A	Iberia	127722
A	ABC Aerolineas S.A. de C.V. dba Interjet	153955
A	XL Airways France	160513
A	Hong Kong Airlines Limited	176582
A	French Bee	21083
A	Volaris Airlines	233571
A	Air Berlin	211036
A	LAN Peru	250741
A	WOW Air	181347
A	ATA Airlines	2081
A	Etihad Airways	395594
A	Midwest Airlines	24332
A	China Southern	823601
A	Aer Lingus	184639
A	WestJet Airlines	889313
A	China Eastern	1168116
A	Qantas Airways	1403536
A	Sun Country Airlines	1257004
A	Horizon Air	42124
A	TACA	1717098
A	Aeromexico	2078670
A	Asiana Airlines	2199967
A	Japan Airlines	2202302
A	AirTran Airways	157021
A	Korean Air Lines	2513618
A	Emirates	2140927
A	China Airlines	3381239
A	KLM Royal Dutch Airlines	3427580
A	Hawaiian Airlines	2399559
A	Virgin Atlantic	3580552
A	Philippine Airlines	3637077
A	Air France	4285192
A	British Airways	6122463
A	Cathay Pacific	6219156
A	Northwest Airlines	714761
A	Frontier Airlines	115071
A	Air Canada	1316758
A	JetBlue Airways	12919339
A	US Airways	384984
A	Alaska Airlines	7143457
A	Virgin America	7993464
A	Delta Air Lines	498241
A	SkyWest Airlines	95097

